PATH,ROW,LATITUDE,LONGITUDE
5,143,-38.3842,93.6392
5,144,-39.2692,93.3583
5,145,-40.1536,93.0718
5,146,-41.0374,92.7795
5,147,-41.9206,92.4811
5,148,-42.803,92.176
5,149,-43.6848,91.864
5,150,-44.5658,91.5446
5,151,-45.4461,91.2174
5,152,-46.3255,90.8818
5,153,-47.2041,90.5374
5,154,-48.0818,90.1836
5,155,-48.9585,89.8197
5,156,-49.8343,89.4452
5,157,-50.709,89.0592
5,158,-51.5826,88.6609
5,159,-52.455,88.2496
5,160,-53.3262,87.8243
5,161,-54.1961,87.384
5,162,-55.0646,86.9275
5,163,-55.9316,86.4536
5,164,-56.797,85.961
5,165,-57.6607,85.4483
5,166,-58.5226,84.9136
5,167,-59.3825,84.3553
5,168,-60.2402,83.7714
5,169,-61.0957,83.1595
5,170,-61.9486,82.5173
5,171,-62.7989,81.8419
5,172,-63.6462,81.1302
5,173,-64.4902,80.3788
5,174,-65.3307,79.5838
5,175,-66.1673,78.7406
5,176,-66.9996,77.8444
5,177,-67.8271,76.8893
5,178,-68.6493,75.8691
5,179,-69.4655,74.7763
5,180,-70.275,73.6025
5,181,-71.0771,72.3382
5,182,-71.8707,70.9722
5,183,-72.6546,69.492
5,184,-73.4276,67.8831
5,185,-74.188,66.1287
5,186,-74.934,64.2098
5,187,-75.6633,62.1047
5,188,-76.3733,59.7887
5,189,-77.0607,57.2342
5,190,-77.7219,54.4109
5,191,-78.3524,51.2864
5,192,-78.9469,47.8273
5,193,-79.4993,44.0019
5,194,-80.0027,39.7832
5,195,-80.4494,35.1549
5,196,-80.831,30.1174
5,197,-81.1391,24.6952
5,198,-81.3659,18.9427
5,199,-81.5049,12.9464
6,1,81.5049,-167.724
6,2,81.3659,-173.721
6,3,81.1391,-179.473
6,4,80.831,175.104
6,5,80.4494,170.067
6,6,80.0027,165.439
6,7,79.4993,161.22
6,8,78.9469,157.395
6,9,78.3524,153.935
6,10,77.7219,150.811
6,11,77.0607,147.988
6,12,76.3733,145.433
6,13,75.6633,143.117
6,14,74.934,141.012
6,15,74.188,139.093
6,16,73.4276,137.339
